province,date_recovered,recovered
Alberta,4/1/2021,5727
Alberta,5/1/2021,1245
Alberta,6/1/2021,1059
Alberta,7/1/2021,1096
Alberta,8/1/2021,829
Alberta,9/1/2021,149
Alberta,10/1/2021,1120
Alberta,11/1/2021,815
Alberta,12/1/2021,1311
Alberta,13-01-2021,1234
Alberta,14-01-2021,1350
Alberta,15-01-2021,1017
Alberta,16-01-2021,178
Alberta,17-01-2021,1210
Alberta,18-01-2021,774
Alberta,19-01-2021,1267
Alberta,20-01-2021,1179
Alberta,21-01-2021,971
Alberta,22-01-2021,900
Alberta,23-01-2021,820
Alberta,24-01-2021,655
Alberta,25-01-2021,889
Alberta,26-01-2021,1040
Alberta,27-01-2021,896
Alberta,28-01-2021,616
Alberta,29-01-2021,765
Alberta,30-01-2021,647
Alberta,31-01-2021,478
Alberta,1/2/2021,463
Alberta,2/2/2021,732
Alberta,3/2/2021,561
Alberta,4/2/2021,580
Alberta,5/2/2021,568
Alberta,6/2/2021,477
Alberta,7/2/2021,371
Alberta,8/2/2021,314
Alberta,9/2/2021,548
Alberta,10/2/2021,458
Alberta,11/2/2021,540
Alberta,12/2/2021,392
Alberta,13-02-2021,426
Alberta,14-02-2021,335
Alberta,15-02-2021,242
Alberta,16-02-2021,483
Alberta,17-02-2021,406
Alberta,18-02-2021,378
Alberta,19-02-2021,365
Alberta,20-02-2021,411
Alberta,21-02-2021,364
Alberta,22-02-2021,340
Alberta,23-02-2021,416
Alberta,24-02-2021,388
Alberta,25-02-2021,452
Alberta,26-02-2021,332
Alberta,27-02-2021,368
Alberta,28-02-2021,260
Alberta,1/3/2021,199
Alberta,2/3/2021,298
Alberta,3/3/2021,372
Alberta,4/3/2021,358
Alberta,5/3/2021,383
Alberta,6/3/2021,330
Alberta,7/3/2021,0
Alberta,8/3/2021,592
Alberta,9/3/2021,412
Alberta,10/3/2021,404
Alberta,11/3/2021,334
Alberta,12/3/2021,365
Alberta,13-03-2021,421
Alberta,14-03-2021,279
Alberta,15-03-2021,247
Alberta,16-03-2021,387
Alberta,17-03-2021,333
Alberta,18-03-2021,338
Alberta,19-03-2021,351
Alberta,20-03-2021,363
Alberta,21-03-2021,200
Alberta,22-03-2021,246
Alberta,23-03-2021,407
Alberta,24-03-2021,387
Alberta,25-03-2021,460
Alberta,26-03-2021,472
Alberta,27-03-2021,378
Alberta,28-03-2021,309
Alberta,29-03-2021,321
Alberta,30-03-2021,519
Alberta,31-03-2021,493
Alberta,1/4/2021,568
Alberta,2/4/2021,0
Alberta,3/4/2021,0
Alberta,4/4/2021,0
Alberta,5/4/2021,2054
Alberta,6/4/2021,701
Alberta,7/4/2021,695
Alberta,8/4/2021,703
Alberta,9/4/2021,647
Alberta,10/4/2021,660
Alberta,11/4/2021,576
Alberta,12/4/2021,575
Alberta,13-04-2021,840
Alberta,14-04-2021,922
Alberta,15-04-2021,987
Alberta,16-04-2021,1080
Alberta,17-04-2021,935
Alberta,18-04-2021,885
Alberta,19-04-2021,899
Alberta,20-04-2021,1283
Alberta,21-04-2021,0
Alberta,22-04-2021,2849
Alberta,23-04-2021,1421
Alberta,24-04-2021,1331
Alberta,25-04-2021,1000
Alberta,26-04-2021,1014
Alberta,27-04-2021,1435
Alberta,28-04-2021,1616
Alberta,29-04-2021,1599
Alberta,30-04-2021,1557
Alberta,1/5/2021,1756
Alberta,2/5/2021,1312
Alberta,3/5/2021,1320
Alberta,4/5/2021,1719
Alberta,5/5/2021,1735
Alberta,6/5/2021,1870
Alberta,7/5/2021,1613
Alberta,8/5/2021,1745
Alberta,9/5/2021,1589
Alberta,10/5/2021,1349
Alberta,11/5/2021,1887
Alberta,12/5/2021,1831
Alberta,13-05-2021,1925
Alberta,14-05-2021,2141
Alberta,15-05-2021,2072
Alberta,16-05-2021,1850
Alberta,17-05-2021,1708
Alberta,18-05-2021,2148
Alberta,19-05-2021,2102
Alberta,20-05-2021,1946
Alberta,21-05-2021,1828
Alberta,22-05-2021,1690
Alberta,23-05-2021,1526
Alberta,24-05-2021,1370
Alberta,25-05-2021,1908
Alberta,26-05-2021,1509
Alberta,27-05-2021,1448
Alberta,28-05-2021,1245
Alberta,29-05-2021,1201
Alberta,30-05-2021,787
Alberta,31-05-2021,682
Alberta,1/6/2021,1083
Alberta,2/6/2021,873
Alberta,3/6/2021,765
Alberta,4/6/2021,653
Alberta,5/6/2021,634
Alberta,6/6/2021,418
Alberta,7/6/2021,302
Alberta,8/6/2021,412
Alberta,9/6/2021,535
Alberta,10/6/2021,566
Alberta,11/6/2021,448
Alberta,12/6/2021,457
Alberta,13-06-2021,231
Alberta,14-06-2021,206
Alberta,15-06-2021,408
Alberta,16-06-2021,314
Alberta,17-06-2021,316
Alberta,18-06-2021,256
Alberta,19-06-2021,287
Alberta,20-06-2021,142
Alberta,21-06-2021,182
Alberta,22-06-2021,289
Alberta,23-06-2021,187
Alberta,24-06-2021,168
Alberta,25-06-2021,0
Alberta,26-06-2021,0
Alberta,27-06-2021,0
Alberta,28-06-2021,526
Alberta,29-06-2021,186
Alberta,30-06-2021,151
Alberta,1/7/2021,0
Alberta,2/7/2021,270
Alberta,3/7/2021,0
Alberta,4/7/2021,0
Alberta,5/7/2021,201
Alberta,6/7/2021,99
Alberta,7/7/2021,83
Alberta,8/7/2021,71
Alberta,9/7/2021,74
Alberta,10/7/2021,0
Alberta,11/7/2021,0
Alberta,12/7/2021,141
Alberta,13-07-2021,57
Alberta,14-07-2021,75
Alberta,15-07-2021,43
Alberta,16-07-2021,38
Alberta,17-07-2021,0
Alberta,18-07-2021,0
Alberta,19-07-2021,102
Alberta,20-07-2021,66
Alberta,21-07-2021,38
Alberta,22-07-2021,77
Alberta,23-07-2021,-27
Alberta,24-07-2021,0
Alberta,25-07-2021,0
Alberta,26-07-2021,103
Alberta,27-07-2021,41
Alberta,28-07-2021,33
Alberta,29-07-2021,47
Alberta,30-07-2021,49
Alberta,31-07-2021,0
Alberta,1/8/2021,0
Alberta,2/8/2021,0
Alberta,3/8/2021,222
Alberta,4/8/2021,100
Alberta,5/8/2021,152
Alberta,6/8/2021,180
Alberta,7/8/2021,0
Alberta,8/8/2021,0
Alberta,9/8/2021,353
Alberta,10/8/2021,194
Alberta,11/8/2021,194
Alberta,12/8/2021,218
Alberta,13-08-2021,244
Alberta,14-08-2021,0
Alberta,15-08-2021,0
Alberta,16-08-2021,490
Alberta,17-08-2021,131
Alberta,18-08-2021,370
Alberta,19-08-2021,379
Alberta,20-08-2021,406
Alberta,21-08-2021,0
Alberta,22-08-2021,0
Alberta,23-08-2021,899
Alberta,24-08-2021,468
Alberta,25-08-2021,510
Alberta,26-08-2021,538
Alberta,27-08-2021,575
Alberta,28-08-2021,0
Alberta,29-08-2021,0
Alberta,30-08-2021,1278
Alberta,31-08-2021,682
Alberta,1/9/2021,677
Alberta,2/9/2021,756
Alberta,3/9/2021,772
Alberta,4/9/2021,0
Alberta,5/9/2021,0
Alberta,6/9/2021,0
Alberta,7/9/2021,2895
Alberta,8/9/2021,1016
Alberta,9/9/2021,1142
Alberta,10/9/2021,1175
Alberta,11/9/2021,0
Alberta,12/9/2021,0
Alberta,13-09-2021,2592
Alberta,14-09-2021,1555
Alberta,15-09-2021,1429
Alberta,16-09-2021,1423
Alberta,17-09-2021,1507
Alberta,18-09-2021,0
Alberta,19-09-2021,0
Alberta,20-09-2021,3198
Alberta,21-09-2021,1187
Alberta,22-09-2021,1929
Alberta,23-09-2021,1767
Alberta,24-09-2021,1780
Alberta,25-09-2021,0
Alberta,26-09-2021,0
Alberta,27-09-2021,3891
Alberta,28-09-2021,2022
